,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937490,2024-01-05 00:21:59,1332,96.193985524,9.395937244848517,6.918372288952958,19.74985178162838,17.470658376,1332,458424,102467.26416503213,1.5810854205442515,102645.67567567568,21000,1332,9.6193985524e-08,9.3959372448485e-09,0.0,1.9749851781628382e-08,1.7470658376e-08,1332,0.011097241164160368,0.002295041044285854,1.8908105772063728,0.0020756813525789394,0.00036709382589600006
18937491,2024-01-05 00:22:11,1278,27.49854737,3.138404725655144,1.7600953168834415,19.522371804943663,17.50854737,1278,496432,71244.2315136732,2.795919235114702,65203.633802816905,21000,1278,2.7498547370000004e-08,3.1384047256551362e-09,0.0,1.9522371804943665e-08,1.7508547369999998e-08,1278,0.009183270867983841,0.0013163053306533784,2.9791621596071565,0.0012208261282018176,0.00036767949476999997
18937492,2024-01-05 00:22:23,1386,69.663057779,5.49539561775125,6.173432807971981,18.906327424253245,16.661375451,1386,1418730,162055.08564696796,5.570137632868179,96989.6948051948,21000,1386,6.9663057779e-08,5.495395617751248e-09,0.0,1.890632742425325e-08,1.6661375451000003e-08,1386,0.03073164319359723,0.0032311740569452053,5.960820753957059,0.0018278891914598355,0.00034988888447100004
18937493,2024-01-05 00:22:35,1260,29.597,3.3127504045543947,2.1141629605642613,18.58539203175,16.652546727,1260,1833680,164727.3466713995,8.59173029447327,87781.05,21000,1260,2.9597000000000004e-08,3.3127504045543943e-09,0.0,1.858539203175e-08,1.6652546727000002e-08,1260,0.03055377868236536,0.002767571801983147,8.340321975498064,0.0015486441398765711,0.00034991348126700003
18937494,2024-01-05 00:22:47,1485,65.226321121,4.887299855523943,5.645820761880093,18.89207906296364,16.276386096,1485,1187387,127795.92151111887,4.98790292766633,83961.23636363636,21000,1485,6.5226321121e-08,4.887299855523942e-09,0.0,1.8892079062963638e-08,1.6276386096e-08,1485,0.01940516153720015,0.002160499231994192,4.531150158104271,0.0015153473495825697,0.0003420141080160001
18937495,2024-01-05 00:22:59,1368,101.999829714,7.6997526283661095,8.57956769898681,18.662433552848686,16.120892897,1368,719319,94159.50379104684,2.5943476265737084,89558.57236842105,21000,1368,1.01999829714e-07,7.699752628366108e-09,0.0,1.8662433552848685e-08,1.6120892897e-08,1368,0.0166106722689249,0.001976892530434407,3.966621913235849,0.0016346999336978134,0.000338748750837
18937496,2024-01-05 00:23:11,1053,45.0,4.137590568662182,3.0007162527193243,18.395113562282052,15.944549213,1053,1229311,155599.31100354154,4.257947625739567,98524.71794871795,21000,1053,4.5000000000000006e-08,4.137590568662185e-09,0.0,1.839511356228205e-08,1.5944549213e-08,1053,0.019661545405074282,0.002524511014076167,4.136069218173685,0.0016787953812037884,0.000334835533473
18937497,2024-01-05 00:23:23,1404,45.573428855,4.095615078764223,4.803695503302685,17.231829614346154,15.483428855,1404,394796,63484.084575593595,2.5826966691486617,60340.179487179485,21000,1404,4.5573428855000005e-08,4.0956150787642236e-09,0.0,1.7231829614346154e-08,1.5483428855e-08,1404,0.0061390778,0.001069452121719462,2.4621599019699145,0.0010164935101409495,0.00032515200595500005
18937498,2024-01-05 00:23:35,1728,55.855140361,4.194385358107279,6.117736547207055,16.451262766510418,14.753020565,1728,1052949,105160.13340500499,4.7576713136718745,85742.09375,21000,1728,5.5855140361e-08,4.194385358107281e-09,0.0,1.6451262766510416e-08,1.4753020565000001e-08,1728,0.015596064321751943,0.001682939675471821,4.081963631278775,0.0013972420666428986,0.000309813431865
18937499,2024-01-05 00:23:47,1143,35.93282079,2.6634574028836244,4.5298623835053675,16.424743131425195,14.93282079,1143,758126,133337.87399589465,2.680497634057386,95180.07874015748,21000,1143,3.5932820790000006e-08,2.6634574028836255e-09,0.0,1.64247431314252e-08,1.493282079e-08,1143,0.01139677229423954,0.002180512139442261,2.47659169548314,0.0015697863415229758,0.00031358923659
